                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6738,                 4.3031,                 1.9444,                0.49315,                0.30092,                0.17657,                  0.065,                  1.899,                 4.4379,                 2.2587,               0.000474,               0.000474,               0.000474
                      2,                 1.7322,                 3.1543,                 2.0005,                0.64799,                0.21743,                0.24006,                0.10236,                 1.7863,                 3.2036,                 2.0811,             0.00085625,             0.00085625,             0.00085625
                      3,                 1.7101,                  2.518,                 1.9688,                0.61748,                0.19058,                0.19869,                0.07785,                  1.896,                 2.5574,                 2.0388,              0.0011442,              0.0011442,              0.0011442
                      4,                 1.6585,                 2.1852,                 1.8915,                0.61486,                0.31078,                0.26031,                0.10804,                 1.7512,                 2.4432,                 1.9811,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.5892,                 2.0479,                 1.8545,                0.61226,                0.36596,                0.34771,                0.17308,                 1.5897,                 1.8234,                 1.7786,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.5469,                 1.8983,                 1.7968,                0.70432,                0.36948,                0.41663,                 0.1986,                 1.5917,                 1.7609,                 1.7359,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.5098,                 1.7669,                 1.7643,                0.34086,                0.46623,                0.44169,                0.20755,                 1.6495,                 1.6562,                 1.7643,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.4144,                 1.6422,                 1.7012,                0.75586,                0.46274,                0.49781,                 0.2577,                 1.4926,                 1.4873,                 1.7064,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.3652,                 1.5451,                 1.6559,                0.67676,                0.50238,                0.50778,                0.27282,                 1.4549,                 1.4607,                 1.5837,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.3208,                 1.4534,                 1.6154,                0.69307,                0.51138,                0.56555,                0.31402,                  1.388,                 1.3733,                 1.5637,             0.00015576,             0.00015576,             0.00015576
