                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4973,                 3.1792,                 1.7158,                0.63091,                0.19194,                0.20807,                0.07627,                 1.8237,                 3.6497,                 2.1124,               0.000474,               0.000474,               0.000474
                      2,                 1.5432,                 2.4457,                 1.7356,                0.62034,                0.26123,                0.23137,                0.09526,                 1.8128,                 2.6283,                 2.1045,             0.00090329,             0.00090329,             0.00090329
                      3,                 1.5647,                   2.18,                 1.7571,                0.36221,                0.33734,                0.31408,                0.13591,                  1.781,                 2.3029,                 2.0019,              0.0012854,              0.0012854,              0.0012854
                      4,                 1.5108,                 1.9652,                 1.7009,                0.67694,                0.30161,                0.30937,                0.14068,                 1.8318,                 2.0852,                 2.1244,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.4682,                 1.8604,                 1.6704,                0.49799,                 0.3818,                0.42308,                0.18883,                 1.7197,                 1.8432,                 1.8403,              0.0011461,              0.0011461,              0.0011461
                      6,                  1.426,                 1.7657,                 1.6214,                0.46357,                0.42145,                0.41557,                0.18924,                 1.6925,                 1.7893,                 1.8152,              0.0010753,              0.0010753,              0.0010753
                      7,                 1.4004,                 1.7087,                 1.6277,                0.63342,                0.43325,                0.50443,                0.24612,                 1.6205,                 1.6085,                 1.7814,              0.0010046,              0.0010046,              0.0010046
                      8,                 1.3858,                 1.6309,                 1.6076,                0.54871,                0.54342,                0.52472,                0.26242,                 1.5534,                 1.6224,                 1.7469,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.3354,                  1.583,                 1.5554,                0.74525,                0.52443,                0.61668,                0.31102,                  1.544,                 1.4553,                 1.6807,             0.00086312,             0.00086312,             0.00086312
                     10,                  1.297,                 1.5238,                 1.5326,                0.71679,                0.50873,                0.58277,                0.29613,                 1.5402,                 1.4614,                 1.6674,             0.00079238,             0.00079238,             0.00079238
                     11,                 1.4241,                 1.5547,                 1.6846,                0.50686,                0.58066,                0.52555,                0.27654,                 1.4969,                 1.5304,                  1.681,             0.00072164,             0.00072164,             0.00072164
                     12,                 1.4037,                  1.499,                 1.6923,                0.60388,                0.52475,                0.54998,                0.27778,                 1.4714,                 1.4753,                 1.6146,             0.00065091,             0.00065091,             0.00065091
                     13,                 1.3511,                 1.4219,                 1.6342,                 0.7029,                0.54258,                0.58752,                0.32183,                 1.4458,                 1.3909,                 1.6274,             0.00058017,             0.00058017,             0.00058017
                     14,                 1.3354,                 1.3735,                 1.6115,                0.69536,                0.57989,                 0.6319,                0.34012,                 1.4415,                 1.3046,                  1.611,             0.00050944,             0.00050944,             0.00050944
                     15,                 1.3159,                 1.3304,                  1.611,                 0.7161,                0.55154,                0.63543,                0.34473,                 1.4022,                  1.313,                 1.5653,              0.0004387,              0.0004387,              0.0004387
                     16,                 1.2861,                 1.2814,                 1.5672,                0.65047,                0.60858,                0.64423,                0.36479,                 1.4051,                 1.2262,                 1.5676,             0.00036797,             0.00036797,             0.00036797
                     17,                 1.2803,                 1.2342,                 1.5571,                0.72712,                0.66799,                0.69039,                0.38931,                 1.3721,                 1.1866,                 1.5207,             0.00029723,             0.00029723,             0.00029723
                     18,                 1.2426,                 1.1817,                 1.5251,                0.62432,                0.60523,                0.65139,                0.37119,                 1.3645,                  1.194,                 1.5125,              0.0002265,              0.0002265,              0.0002265
                     19,                 1.2288,                 1.1551,                 1.5363,                0.75351,                0.64302,                0.70047,                0.40921,                 1.3342,                 1.1302,                 1.4948,             0.00015576,             0.00015576,             0.00015576
                     20,                    1.2,                 1.1305,                 1.4978,                0.69383,                0.64033,                 0.7056,                 0.4109,                  1.337,                 1.0887,                 1.4851,             8.5026e-05,             8.5026e-05,             8.5026e-05
